device: cpu | num_envs: 8
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
C:\Users\Nemanja\AppData\Local\Programs\Python\Python313\Lib\site-packages\pygame\pkgdata.py:25: UserWarning: pkg_resources is deprecated as an API. See https://setuptools.pypa.io/en/latest/pkg_resources.html. The pkg_resources package is slated for removal as early as 2025-11-30. Refrain from using this package or pin to Setuptools<81.
  from pkg_resources import resource_stream, resource_exists
pygame 2.6.1 (SDL 2.28.4, Python 3.13.14)
Hello from the pygame community. https://www.pygame.org/contribute.html
upd    1 | step     2048 |   147 sps | ret     0.20 | succ 0.01 | mean_lvl  9.2 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=1.0 | kl +0.0013 | ent 3.610
upd    2 | step     4096 |   149 sps | ret     0.00 | succ 0.00 | mean_lvl  9.2 | max_lvl 10 | cur 1/10 pb 0.0 | focus (302,104) f=1.0 | kl +0.0022 | ent 3.606
upd    3 | step     6144 |   151 sps | ret     0.20 | succ 0.01 | mean_lvl  9.2 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=1.0 | kl +0.0019 | ent 3.589
upd    4 | step     8192 |   151 sps | ret     0.40 | succ 0.02 | mean_lvl  9.2 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.99 | kl +0.0002 | ent 3.563
upd    5 | step    10240 |   153 sps | ret     0.40 | succ 0.02 | mean_lvl  9.2 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.99 | kl +0.0088 | ent 3.490
upd    6 | step    12288 |   154 sps | ret     2.40 | succ 0.12 | mean_lvl  9.5 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.95 | kl +0.0021 | ent 3.420
upd    7 | step    14336 |   156 sps | ret     1.60 | succ 0.08 | mean_lvl  9.3 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.87 | kl +0.0027 | ent 3.360
upd    8 | step    16384 |   157 sps | ret     3.20 | succ 0.16 | mean_lvl  9.6 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.88 | kl +0.0016 | ent 3.293
upd    9 | step    18432 |   159 sps | ret     3.60 | succ 0.18 | mean_lvl  9.7 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.78 | kl +0.0009 | ent 3.233
upd   10 | step    20480 |   161 sps | ret     4.00 | succ 0.20 | mean_lvl  9.8 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.88 | kl +0.0005 | ent 3.173
upd   11 | step    22528 |   162 sps | ret     4.00 | succ 0.20 | mean_lvl  9.7 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.87 | kl +0.0016 | ent 3.100
upd   12 | step    24576 |   163 sps | ret     6.20 | succ 0.31 | mean_lvl 10.1 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.7 | kl -0.0001 | ent 3.032
upd   13 | step    26624 |   164 sps | ret     7.40 | succ 0.37 | mean_lvl 10.2 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.52 | kl +0.0015 | ent 2.939
upd   14 | step    28672 |   165 sps | ret     7.40 | succ 0.37 | mean_lvl 10.2 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.73 | kl +0.0006 | ent 2.857
upd   15 | step    30720 |   167 sps | ret     9.60 | succ 0.48 | mean_lvl 10.5 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.41 | kl +0.0003 | ent 2.790
upd   16 | step    32768 |   168 sps | ret     7.40 | succ 0.37 | mean_lvl 10.2 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.68 | kl +0.0006 | ent 2.740
upd   17 | step    34816 |   168 sps | ret     9.00 | succ 0.45 | mean_lvl 10.5 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.48 | kl +0.0001 | ent 2.709
upd   18 | step    36864 |   169 sps | ret     9.40 | succ 0.47 | mean_lvl 10.5 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.44 | kl -0.0001 | ent 2.654
upd   19 | step    38912 |   170 sps | ret    10.60 | succ 0.53 | mean_lvl 10.7 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.49 | kl -0.0006 | ent 2.614
upd   20 | step    40960 |   171 sps | ret    11.80 | succ 0.59 | mean_lvl 10.9 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.29 | kl -0.0002 | ent 2.574
upd   21 | step    43008 |   171 sps | ret    12.60 | succ 0.63 | mean_lvl 11.0 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.31 | kl +0.0005 | ent 2.547
upd   22 | step    45056 |   172 sps | ret    12.00 | succ 0.60 | mean_lvl 10.9 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.34 | kl +0.0004 | ent 2.491
upd   23 | step    47104 |   172 sps | ret    13.60 | succ 0.68 | mean_lvl 11.1 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.41 | kl +0.0001 | ent 2.418
upd   24 | step    49152 |   173 sps | ret    12.80 | succ 0.64 | mean_lvl 11.0 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.57 | kl +0.0004 | ent 2.360
upd   25 | step    51200 |   174 sps | ret    13.80 | succ 0.69 | mean_lvl 11.1 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.41 | kl +0.0008 | ent 2.346
upd   26 | step    53248 |   174 sps | ret    12.40 | succ 0.62 | mean_lvl 11.0 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.42 | kl +0.0001 | ent 2.323
upd   27 | step    55296 |   174 sps | ret    11.60 | succ 0.58 | mean_lvl 10.8 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.28 | kl +0.0001 | ent 2.306
upd   28 | step    57344 |   175 sps | ret    15.40 | succ 0.77 | mean_lvl 11.3 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.29 | kl +0.0013 | ent 2.264
upd   29 | step    59392 |   175 sps | ret    14.20 | succ 0.71 | mean_lvl 11.2 | max_lvl 12 | cur 1/10 pb 0.0 | focus (302,104) f=0.09 | kl +0.0005 | ent 2.221
